problem,ok,missing,best_mean,best_median,final_median,final_best_median_ratio,paper_mean,gap,cc_pass_mean,cc_pass_min,cc_pass_max,extra_mean
E4,10,,965548649.6739364,688086661.4445021,6756913527.939457,8.711516176095545,22600000.0,41.72339157849276,6302.4,5431,6947,1.0933333333333333e-05
E6,10,,1095241836.5139723,604957808.0253,8405378172.011182,15.598078500105586,43200000.0,24.352820289675286,6214.1,5601,7056,1.3333333333333333e-05
S4,3,4 5 6 7 8 9 10,3240502.9606528822,2881151.6142627057,3973600.270424668,1.411170702380419,1240.0,2612.308839236195,7002.666666666667,6809,7103,6.222222222222222e-06
S6,10,,3781614.8539331667,3951306.119796244,5070826.504175825,1.3153405155932236,66500.0,55.866388780949876,6997.5,6766,7118,6.9e-06
A6,4,5 6 7 8 9 10,80586.90763562257,80738.92755618613,83683.4204935869,1.0367139307739346,78000.0,0.033165482507981674,7126,7126,7126,8.416666666666667e-06
R6,10,,2993187.8798512933,3000060.139627437,4190445.060323377,1.4140689911986095,815000.0,2.6726231654617094,6793.2,6557,7010,6.966666666666667e-06
