problem,seed,tfes,method,coordination_mode,cc_pass_group_fes,cc_pass_count,best_error,final_error,fe_used,runtime,fusion_count,freeze_count,disable_count,fusion_validation_attempt_count,fusion_validation_accept_count,fusion_validation_accept_rate,validation_attempt_count,validation_accept_count,validation_reject_count,validation_accept_rate,validation_extra_fe_ratio,relation_history_size,status
S6,2,5000,no-coordination,no_coordination,20,9,23011589497670.633,23121980840501.2,5000,1.5383362770080566,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
S6,3,5000,no-coordination,no_coordination,20,9,27870097598620.06,27891000583854.965,5000,2.343491554260254,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
S6,4,5000,no-coordination,no_coordination,20,9,23965782446095.746,23990162750948.676,5000,2.337484121322632,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
S6,5,5000,no-coordination,no_coordination,20,9,19914292753353.77,19919301449213.957,5000,2.3677353858947754,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
S6,6,5000,no-coordination,no_coordination,20,9,18249247660814.68,18249247660814.68,5000,2.3742802143096924,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
S6,7,5000,no-coordination,no_coordination,20,9,23605703203098.703,23652484925594.195,5000,2.3521671295166016,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
S6,8,5000,no-coordination,no_coordination,20,9,26641465984211.652,26777153198171.36,5000,2.343648672103882,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
S6,9,5000,no-coordination,no_coordination,20,9,15872786308645.762,15872786308645.762,5000,2.4920687675476074,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
S6,10,5000,no-coordination,no_coordination,20,9,17098886546486.48,17098886546486.48,5000,2.509955406188965,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
A6,1,5000,no-coordination,no_coordination,20,9,81734.1002801257,84205.88616164509,5000,2.8645291328430176,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
A6,2,5000,no-coordination,no_coordination,20,9,80880.73717878072,83816.9022201855,5000,2.7873189449310303,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
A6,3,5000,no-coordination,no_coordination,20,9,82013.06358482654,83829.01223617067,5000,2.8659186363220215,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
A6,4,5000,no-coordination,no_coordination,20,9,79694.89707433485,84380.65176029233,5000,2.9462878704071045,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
A6,5,5000,no-coordination,no_coordination,20,9,82298.01981853634,83463.14436733258,5000,2.9546689987182617,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
A6,6,5000,no-coordination,no_coordination,20,9,81899.66795275053,83740.95893465543,5000,2.9797496795654297,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
A6,7,5000,no-coordination,no_coordination,20,9,81711.5100284953,83348.26186422694,5000,3.0266759395599365,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
A6,8,5000,no-coordination,no_coordination,20,9,82078.65856314194,84209.25346382869,5000,3.0563058853149414,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
A6,9,5000,no-coordination,no_coordination,20,9,80253.94440891237,83889.05846969075,5000,2.9986021518707275,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
A6,10,5000,no-coordination,no_coordination,20,9,79455.89494800444,83623.11545101997,5000,2.9489853382110596,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
R6,1,5000,no-coordination,no_coordination,20,9,2082661080528.5708,2082661080528.5708,5000,1.7204177379608154,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
R6,2,5000,no-coordination,no_coordination,20,9,4438985302722.369,4465685472733.027,5000,1.6631481647491455,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
R6,3,5000,no-coordination,no_coordination,20,9,2057633825558.3933,2059776967151.6194,5000,2.863110065460205,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
R6,4,5000,no-coordination,no_coordination,20,9,1655880585585.7053,1657835678874.5583,5000,2.821535587310791,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
R6,5,5000,no-coordination,no_coordination,20,9,2354737736342.8687,2356189543125.8315,5000,2.7871904373168945,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
R6,6,5000,no-coordination,no_coordination,20,9,2163540750611.3152,2163540750611.3152,5000,2.822385549545288,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
R6,7,5000,no-coordination,no_coordination,20,9,1442227036731.9224,1442227036731.9224,5000,2.770519971847534,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
R6,8,5000,no-coordination,no_coordination,20,9,2364629065062.583,2364629065062.583,5000,2.7837347984313965,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
R6,9,5000,no-coordination,no_coordination,20,9,1323866969410.8245,1323866969410.8245,5000,2.8378119468688965,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
R6,10,5000,no-coordination,no_coordination,20,9,808539742710.1355,811576263591.656,5000,2.832073211669922,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E4,1,10000,no-coordination,no_coordination,20,19,2311788352688.8164,2312235126677.569,10000,4.127450466156006,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E4,2,10000,no-coordination,no_coordination,20,19,2277069042891.515,2277069042891.515,10000,4.126452207565308,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E4,3,10000,no-coordination,no_coordination,20,19,2410786155976.0063,2410786155976.0063,10000,4.200710296630859,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E4,4,10000,no-coordination,no_coordination,20,19,1965879958051.127,1965879958051.127,10000,4.207381963729858,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E4,5,10000,no-coordination,no_coordination,20,19,1876535123287.1165,1876535123287.1165,10000,4.072298288345337,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E4,6,10000,no-coordination,no_coordination,20,19,2345982258194.853,2345982258194.853,10000,4.175417184829712,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
E4,7,10000,no-coordination,no_coordination,20,19,1810489893509.0952,1814354871806.6736,10000,4.158025741577148,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,ok
