cycle_id,scheduled_position,original_group_id,group_size,priority,budget,actual_fe,fitness_before,fitness_after,actual_delta,overlap_var_count,overlap_ratio,conflict_prior_mean,was_sorted
0,0,2,4,1.1322306296792521,36,36,171.7682785404258,155.19536687994903,16.572911660476763,2,0.5,8.740341783664007e-12,True
0,1,1,10,0.9655534714581995,36,36,155.19536687994903,128.67887537165333,26.5164915082957,4,0.4,1.0019318708032188e-11,True
0,2,0,10,0.9022158988625488,36,35,128.67887537165333,111.83581739606956,16.843057975583775,2,0.2,1.1298295632400368e-11,True
