cycle_id,scheduled_position,original_group_id,group_size,priority,budget,actual_fe,fitness_before,fitness_after,actual_delta,overlap_var_count,overlap_ratio,conflict_prior_mean,was_sorted
0,0,0,10,0.9689440993788819,26,26,149.4279799104608,117.77368251217649,31.654297398284314,2,0.2,0.0,False
0,1,1,10,1.0062111801242235,26,26,117.77368251217649,88.89478712212329,28.878895390053202,4,0.4,0.0,False
0,2,2,4,1.0248447204968945,26,25,88.89478712212329,82.43406978559646,6.460717336526827,2,0.5,0.0,False
