problem,tfes,candidate,baseline,paired_runs,wins,losses,ties,non_worse_count,non_worse_rate,gap_mean,gap_std,gap_median,gap_q1,gap_q3,gap_iqr,worst_case_gap,best_case_gap
E4,5000,arac-lite-v0.6-targeted-probe,arac-lite-v0.1-disable-fast,10,0,0,10,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E4,5000,arac-lite-v0.6-no-delta-hard-block,no-coordination,10,4,5,1,5,0.5,0.0002611636283659945,0.0028734553381939807,0.00017044541018901486,-2.898115965858546e-05,0.0020755686670703667,0.002104549826728952,0.004417545732840707,-0.005691123829838988
E4,5000,arac-lite-v0.6-no-delta-hard-block,validated-selective-conflict,10,8,2,0,8,0.8,-0.000976545825127818,0.004105755057185075,-0.0004852980015135547,-0.0028112739538024767,-4.642444410484127e-05,0.0027648495096976354,0.006918850831264314,-0.00793683856801383
E4,5000,arac-lite-v0.6-no-delta-hard-block,arac-lite-v0.1-disable-fast,10,0,0,10,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E4,10000,arac-lite-v0.6-targeted-probe,no-coordination,10,4,6,0,4,0.4,0.0010424561583315198,0.00743123344059451,0.0004000261967873949,-0.004982709342167811,0.00526407890681194,0.01024678824897975,0.014239309459976406,-0.00954979919678435
E4,10000,arac-lite-v0.6-targeted-probe,validated-selective-conflict,10,5,5,0,5,0.5,0.0009191487114797948,0.009952177230256237,-0.0005979021124507503,-0.0066545552913125075,0.009426023729944036,0.016080579021256543,0.016877928127225456,-0.012606597992722877
E4,10000,arac-lite-v0.6-targeted-probe,arac-lite-v0.1-disable-fast,10,0,2,8,8,0.8,2.4251481227918426e-06,6.4588907137411875e-06,0.0,0.0,0.0,0.0,2.166300845703905e-05,0.0
E4,10000,arac-lite-v0.6-no-delta-hard-block,no-coordination,10,4,6,0,4,0.4,0.0010424561583315198,0.00743123344059451,0.0004000261967873949,-0.004982709342167811,0.00526407890681194,0.01024678824897975,0.014239309459976406,-0.00954979919678435
E4,10000,arac-lite-v0.6-no-delta-hard-block,validated-selective-conflict,10,5,5,0,5,0.5,0.0009191487114797948,0.009952177230256237,-0.0005979021124507503,-0.0066545552913125075,0.009426023729944036,0.016080579021256543,0.016877928127225456,-0.012606597992722877
E4,10000,arac-lite-v0.6-no-delta-hard-block,arac-lite-v0.1-disable-fast,10,0,2,8,8,0.8,2.4251481227918426e-06,6.4588907137411875e-06,0.0,0.0,0.0,0.0,2.166300845703905e-05,0.0
E4,20000,arac-lite-v0.6-targeted-probe,no-coordination,10,5,5,0,5,0.5,-0.00341934543689851,0.016753255999075106,-0.003760296067822359,-0.013266118381816405,0.010042366649152356,0.02330848503096876,0.023969715295004256,-0.03258934578288672
E4,20000,arac-lite-v0.6-targeted-probe,validated-selective-conflict,10,7,3,0,7,0.7,-0.01003837901371389,0.011897068824574105,-0.013175472722046241,-0.020149239632764743,0.001621920460764166,0.021771160093528908,0.007139153758141807,-0.027332291879506948
E4,20000,arac-lite-v0.6-targeted-probe,arac-lite-v0.1-disable-fast,10,0,0,10,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
