problem,seed,tfes,method,coordination_mode,cc_pass_group_fes,cc_pass_count,best_error,final_error,fe_used,runtime,fusion_count,freeze_count,disable_count,fusion_validation_attempt_count,fusion_validation_accept_count,fusion_validation_accept_rate,validation_attempt_count,validation_accept_count,validation_reject_count,validation_accept_rate,validation_extra_fe_ratio,relation_history_size,status
S6,9,20000,arac-lite-v0.6-accept-delta-recovery,arac_lite_rule,20,33,2503825510.469825,2505692500.7114706,20000,13.936579465866089,245,136,5889,245,18,0.07346938775510205,26,9,17,0.34615384615384615,0.0013,190,ok
S6,10,20000,arac-lite-v0.6-accept-delta-recovery,arac_lite_rule,20,33,3398179709.58992,3399926369.447806,20000,13.87453317642212,209,129,5932,209,9,0.0430622009569378,21,8,13,0.38095238095238093,0.00105,190,ok
E6,1,20000,arac-lite-v0.6-accept-delta-recovery,arac_lite_rule,20,33,544876525193.05005,545100847345.9015,20000,12.230216979980469,376,240,5654,376,112,0.2978723404255319,33,15,18,0.45454545454545453,0.00165,190,ok
E6,2,20000,arac-lite-v0.6-accept-delta-recovery,arac_lite_rule,20,33,534484668187.58545,534484668187.58545,20000,11.91242003440857,219,139,5912,219,11,0.0502283105022831,23,6,17,0.2608695652173913,0.00115,190,ok
E6,3,20000,arac-lite-v0.6-accept-delta-recovery,arac_lite_rule,20,33,574700795585.7823,574700795585.7823,20000,12.216585397720337,435,254,5581,435,153,0.35172413793103446,30,14,16,0.4666666666666667,0.0015,190,ok
E6,4,20000,arac-lite-v0.6-accept-delta-recovery,arac_lite_rule,20,33,522488090556.92706,522895319002.34827,20000,12.23051929473877,208,121,5941,208,7,0.03365384615384615,20,6,14,0.3,0.001,190,ok
E6,5,20000,arac-lite-v0.6-accept-delta-recovery,arac_lite_rule,20,33,536398212760.1549,536398212760.1549,20000,9.77651071548462,304,202,5764,304,77,0.2532894736842105,30,11,19,0.36666666666666664,0.0015,190,ok
E6,6,20000,arac-lite-v0.6-accept-delta-recovery,arac_lite_rule,20,33,595793537260.9851,595809383534.5397,20000,9.712254762649536,256,168,5846,256,29,0.11328125,32,12,20,0.375,0.0016,190,ok
E6,7,20000,arac-lite-v0.6-accept-delta-recovery,arac_lite_rule,20,33,624367236118.9594,624367236118.9594,20000,9.58741021156311,241,119,5910,241,38,0.15767634854771784,24,13,11,0.5416666666666666,0.0012,190,ok
E6,8,20000,arac-lite-v0.6-accept-delta-recovery,arac_lite_rule,20,33,570608644379.8535,570608644379.8535,20000,9.509951829910278,254,157,5859,254,43,0.16929133858267717,28,13,15,0.4642857142857143,0.0014,190,ok
E6,9,20000,arac-lite-v0.6-accept-delta-recovery,arac_lite_rule,20,33,638684304738.9465,639661899001.2512,20000,9.54605484008789,315,222,5733,315,63,0.2,30,11,19,0.36666666666666664,0.0015,190,ok
E6,10,20000,arac-lite-v0.6-accept-delta-recovery,arac_lite_rule,20,33,511411801102.1733,511756181118.50006,20000,9.391059398651123,281,253,5736,281,62,0.2206405693950178,30,17,13,0.5666666666666667,0.0015,190,ok
